URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/entertainment/movies/la-et-mn-free-solo-review-20180927-story.html,207198,152,text/html
http://www.latimes.com/local/california/la-me-bullet-train-route-20180926-story.html,129014,155,text/html
http://www.latimes.com/opinion/opinion-la/,157610,209,text/html
http://www.latimes.com/la-bio-mark-olsen-staff.html,100773,181,text/html
http://www.latimes.com/entertainment/arts/,245616,211,text/html
http://www.latimes.com/brandpublishing/businessplus/,72312,41,text/html
http://www.latimes.com/espanol/eeuu/,253488,210,text/html
http://www.latimes.com/travel/la-tr-all-systems-go-sg-storygallery.html,82118,146,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-call-her-ganda-review-20180927-story.html,196387,151,text/html
http://www.latimes.com/la-bio-patrick-mcgreevy-staff.html,101350,180,text/html
http://www.latimes.com/entertainment/movies/la-ca-list-0930-movie-openings-20180930-story.html,208791,151,text/html
http://www.latimes.com/world/mexico-americas/la-fg-mexico-el-chapo-birthday-20180919-story.html,108844,150,text/html
http://www.latimes.com/food/dailydish/,237436,209,text/html
http://www.latimes.com/local/lanow/la-me-ln-branson-baseball-dodgers-20180924-story.html,131454,157,text/html
http://www.latimes.com/local/lanow/la-me-ln-shark-follow-20180930-story.html,121047,150,text/html
http://www.latimes.com/nation/la-na-puerto-rico-recovery-20180920-htmlstory.html,147684,185,text/html
http://www.latimes.com/business/technology/la-fi-tn-amazon-counterfeits-20180928-story.html,195262,168,text/html
http://www.latimes.com/sports/boxing/la-sp-pbc-boxing-ontario-20180930-story.html,194894,150,text/html
http://www.latimes.com/opinion/topoftheticket/,154681,206,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-domain-review-20180925-story.html,197544,151,text/html
http://www.latimes.com/local/,214895,235,text/html
http://www.latimes.com/la-bio-deborah-vankin-staff.html,100592,181,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-the-healer-review-20180927-story.html,197251,151,text/html
http://www.latimes.com/home/,257976,229,text/html
http://www.latimes.com/lanews-bill-plaschke-20130507-staff.html,97952,181,text/html
http://www.latimes.com/sports/olympics/,242213,208,text/html
http://www.latimes.com/shopping/traveloffers/,61757,39,text/html
http://www.latimes.com/opinion/op-ed/la-oe-hurowitz-georg-duckwitz-denmark-nazis-jews-20180930-story.html,105934,146,text/html
http://www.latimes.com/sports/lakers/la-sp-lakers-nuggets-20180930-story.html,211177,151,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-museo-review-20180927-story.html,207316,152,text/html
http://www.latimes.com/fashion/la-ig-pfw-hermes-20180930-story.html,202552,152,text/html
http://www.latimes.com/la-bio-christopher-goffard-staff.html,96964,181,text/html
http://www.latimes.com/la-bio-susan-king-staff.html,99327,182,text/html
http://www.latimes.com/entertainment/tv/la-et-st-cosby-personal-20180925-story.html,224240,154,text/html
http://www.latimes.com/opinion/op-ed/la-oe-ungar-sargon-kavanaugh-case-unites-us-on-treatment-of-women-20180930-story.html,107250,146,text/html
http://www.latimes.com/espanol/vidayestilo/la-es-la-biblia-lo-describio-como-el-azul-perfecto-y-puro-y-despues-de-casi-2-000-anos-casi-todo-el-mundo-20180910-story.html,117766,147,text/html
http://www.latimes.com/entertainment/envelope/,244813,208,text/html
http://www.latimes.com/espanol/comida/,242927,203,text/html
http://www.latimes.com/la-bio-kenneth-turan-staff.html,99457,182,text/html
http://www.latimes.com/world/,191923,224,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-tea-with-the-dames-review-20180927-story.html,207345,152,text/html
http://www.latimes.com/sports/clippers/,242643,207,text/html
http://www.latimes.com/business/autos/,160329,209,text/html
http://www.latimes.com/business/lazarus/,163740,207,text/html
http://www.latimes.com/world/asia/,157119,209,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-queercore-punk-revolution-revolution-20180927-story.html,199487,151,text/html
http://www.latimes.com/world/mexico-americas/,161052,208,text/html
http://www.latimes.com/entertainment/arts/la-et-cm-0928-laphil-ciclavia-20180928-story.html,225339,150,text/html
